filepath,filename,artist,is_van_gogh
/kaggle/input/wikiart/Post_Impressionism/paul-cezanne_curtain-jug-and-fruit-1894.jpg,paul-cezanne_curtain-jug-and-fruit-1894.jpg,paul-cezanne,0
/kaggle/input/wikiart/Post_Impressionism/suzanne-valadon_self-portrait-1938.jpg,suzanne-valadon_self-portrait-1938.jpg,suzanne-valadon,0
/kaggle/input/wikiart/Post_Impressionism/albert-marquet_village-cafe-1900.jpg,albert-marquet_village-cafe-1900.jpg,albert-marquet,0
/kaggle/input/wikiart/Post_Impressionism/vincent-van-gogh_entrance-gate-to-a-farm-with-haystacks-1888(1).jpg,vincent-van-gogh_entrance-gate-to-a-farm-with-haystacks-1888(1).jpg,vincent-van-gogh,1
/kaggle/input/wikiart/Post_Impressionism/paul-gauguin_negreries-martinique-1890.jpg,paul-gauguin_negreries-martinique-1890.jpg,paul-gauguin,0
/kaggle/input/wikiart/Post_Impressionism/maurice-prendergast_sunset-and-sea-fog-1923.jpg,maurice-prendergast_sunset-and-sea-fog-1923.jpg,maurice-prendergast,0
/kaggle/input/wikiart/Post_Impressionism/constantin-piliuta_springtime-in-dude-ti.jpg,constantin-piliuta_springtime-in-dude-ti.jpg,constantin-piliuta,0
/kaggle/input/wikiart/Post_Impressionism/paul-cezanne_bathers-at-rest.jpg,paul-cezanne_bathers-at-rest.jpg,paul-cezanne,0
/kaggle/input/wikiart/Post_Impressionism/paul-gauguin_the-vase-of-nasturtiums-1886.jpg,paul-gauguin_the-vase-of-nasturtiums-1886.jpg,paul-gauguin,0
/kaggle/input/wikiart/Post_Impressionism/vincent-van-gogh_field-with-houses-under-a-sky-with-sun-disk-1888(1).jpg,vincent-van-gogh_field-with-houses-under-a-sky-with-sun-disk-1888(1).jpg,vincent-van-gogh,1
/kaggle/input/wikiart/Post_Impressionism/maurice-prendergast_nude-model-with-drapery.jpg,maurice-prendergast_nude-model-with-drapery.jpg,maurice-prendergast,0
/kaggle/input/wikiart/Post_Impressionism/moise-kisling_not-identified-30.jpg,moise-kisling_not-identified-30.jpg,moise-kisling,0
/kaggle/input/wikiart/Post_Impressionism/aristarkh-lentulov_portrait-of-m-p-lentulova.jpg,aristarkh-lentulov_portrait-of-m-p-lentulova.jpg,aristarkh-lentulov,0
